,result,decision,ageDiff,weightDiff,heightDiff,reachDiff,total_bouts_A,total_bouts_B,KoPercent_A,KoPercent_B,WinPercent_A,WinPercent_B,LossPercent_A,LossPercent_B,DrawPercent_A,DrawPercent_B
302516,win_A,KO,-5.0,-2.0,-4.0,-7.0,36,28,88.88888888888889,50.0,91.66666666666666,71.42857142857143,8.333333333333332,28.57142857142857,0.0,0.0
302518,win_A,TKO,4.0,-5.0,4.0,7.0,24,34,54.166666666666664,91.17647058823529,79.16666666666666,94.11764705882352,20.833333333333336,5.88235294117647,0.0,0.0
302524,win_A,KO,-7.0,-14.0,-3.0,-10.0,25,12,96.0,50.0,100.0,91.66666666666666,0.0,8.333333333333332,0.0,0.0
302526,win_A,PTS,-7.0,-26.0,6.0,8.0,22,34,100.0,23.52941176470588,100.0,52.94117647058824,0.0,47.05882352941176,0.0,2.941176470588235
302530,win_A,KO,-10.0,3.0,5.0,3.0,18,36,100.0,63.888888888888886,100.0,77.77777777777779,0.0,22.22222222222222,0.0,5.555555555555555
302531,win_A,TKO,0.0,-13.0,3.0,-2.0,17,22,100.0,27.27272727272727,100.0,81.81818181818183,0.0,18.181818181818183,0.0,4.545454545454546
302660,win_A,TKO,-1.0,0.0,-5.0,-3.0,24,39,58.333333333333336,51.28205128205128,83.33333333333334,84.61538461538461,16.666666666666664,15.384615384615385,0.0,2.564102564102564
302666,win_A,UD,6.0,1.0,7.0,0.0,31,13,58.06451612903226,69.23076923076923,90.32258064516128,100.0,9.67741935483871,0.0,3.225806451612903,0.0
302668,win_B,TKO,9.0,5.0,-7.0,-8.0,39,27,30.76923076923077,59.25925925925925,61.53846153846154,92.5925925925926,38.46153846153847,7.4074074074074066,5.128205128205128,3.7037037037037033
302671,win_A,TKO,5.0,2.0,1.0,8.0,21,33,57.14285714285714,33.33333333333333,100.0,54.54545454545454,0.0,45.45454545454545,4.761904761904762,6.0606060606060606
302679,win_A,TKO,-10.0,-1.0,7.0,0.0,12,33,58.333333333333336,36.36363636363637,100.0,63.63636363636363,0.0,36.36363636363637,8.333333333333332,9.090909090909092
302686,draw,PTS,1.0,2.0,5.0,5.0,6,3,33.33333333333333,66.66666666666666,100.0,100.0,0.0,0.0,0.0,0.0
302830,win_A,KO,5.0,-14.0,-5.0,-14.0,43,52,51.162790697674424,65.38461538461539,69.76744186046511,82.6923076923077,30.23255813953488,17.307692307692307,9.30232558139535,1.9230769230769231
302832,win_A,KO,3.0,8.0,-4.0,-4.0,36,27,50.0,70.37037037037037,72.22222222222221,81.48148148148148,27.77777777777778,18.51851851851852,11.11111111111111,0.0
303438,win_B,MD,0.0,0.0,-4.0,-5.0,35,26,48.57142857142857,61.53846153846154,97.14285714285714,100.0,2.857142857142857,0.0,0.0,3.8461538461538463
303987,win_B,SD,12.0,-4.0,0.0,3.0,14,22,28.57142857142857,22.727272727272727,85.71428571428571,86.36363636363636,14.285714285714285,13.636363636363635,7.142857142857142,9.090909090909092
304038,win_A,UD,0.0,0.0,2.0,-6.0,9,7,55.55555555555556,0.0,100.0,42.857142857142854,0.0,57.14285714285714,0.0,28.57142857142857
304109,win_A,TKO,-7.0,0.0,2.0,5.0,19,46,100.0,47.82608695652174,100.0,86.95652173913044,0.0,13.043478260869565,0.0,2.1739130434782608
304111,win_A,KO,-1.0,1.0,8.0,-2.0,44,63,45.45454545454545,41.269841269841265,86.36363636363636,63.49206349206349,13.636363636363635,36.507936507936506,2.272727272727273,3.1746031746031744
304113,win_A,UD,2.0,0.0,3.0,-5.0,42,18,45.23809523809524,72.22222222222221,85.71428571428571,88.88888888888889,14.285714285714285,11.11111111111111,2.380952380952381,0.0
304114,win_A,TKO,1.0,0.0,-2.0,-7.0,41,39,43.90243902439025,48.717948717948715,85.36585365853658,79.48717948717949,14.634146341463413,20.51282051282051,2.4390243902439024,12.82051282051282
304116,win_A,UD,8.0,3.0,3.0,3.0,39,24,46.15384615384615,75.0,87.17948717948718,100.0,12.82051282051282,0.0,2.564102564102564,0.0
304122,win_B,UD,5.0,1.0,-7.0,3.0,33,9,48.484848484848484,100.0,87.87878787878788,100.0,12.121212121212121,0.0,3.0303030303030303,0.0
304143,win_A,UD,-1.0,0.0,9.0,5.0,9,9,44.44444444444444,55.55555555555556,100.0,100.0,0.0,0.0,0.0,0.0
305087,win_A,UD,-2.0,0.0,-3.0,-18.0,15,53,80.0,32.075471698113205,100.0,67.9245283018868,0.0,32.075471698113205,0.0,7.547169811320755
305249,win_A,TKO,-8.0,-20.0,13.0,10.0,16,46,93.75,47.82608695652174,100.0,84.78260869565217,0.0,15.217391304347828,0.0,2.1739130434782608
305271,win_B,SD,2.0,-4.0,4.0,8.0,26,21,50.0,52.38095238095239,92.3076923076923,100.0,7.6923076923076925,0.0,0.0,0.0
305489,win_A,TKO,6.0,14.0,-5.0,-23.0,51,13,80.3921568627451,61.53846153846154,94.11764705882352,61.53846153846154,5.88235294117647,38.46153846153847,1.9607843137254901,0.0
305491,win_A,UD,-2.0,0.0,-5.0,-11.0,49,27,81.63265306122449,25.925925925925924,93.87755102040816,77.77777777777779,6.122448979591836,22.22222222222222,2.0408163265306123,0.0
305494,win_A,SD,-2.0,-18.0,-15.0,-28.0,46,21,82.6086956521739,76.19047619047619,93.47826086956522,80.95238095238095,6.521739130434782,19.047619047619047,2.1739130434782608,9.523809523809524
305496,win_A,KO,-6.0,5.0,-13.0,-13.0,44,24,81.81818181818183,54.166666666666664,93.18181818181817,79.16666666666666,6.8181818181818175,20.833333333333336,0.0,0.0
305499,win_A,KO,-5.0,24.0,-15.0,-25.0,39,42,82.05128205128204,71.42857142857143,94.87179487179486,92.85714285714286,5.128205128205128,7.142857142857142,0.0,0.0
305501,win_B,KO,5.0,1.0,13.0,23.0,41,36,60.97560975609756,83.33333333333334,85.36585365853658,97.22222222222221,14.634146341463413,2.7777777777777777,2.4390243902439024,0.0
305504,win_A,TKO,-8.0,1.0,-10.0,0.0,32,27,81.25,48.148148148148145,96.875,81.48148148148148,3.125,18.51851851851852,0.0,0.0
305506,win_A,TKO,-7.0,-6.0,-10.0,-10.0,30,28,80.0,35.714285714285715,96.66666666666667,50.0,3.3333333333333335,50.0,0.0,0.0
305507,win_A,MD,-5.0,25.0,-13.0,-15.0,29,22,82.75862068965517,50.0,96.55172413793103,77.27272727272727,3.4482758620689653,22.727272727272727,0.0,0.0
305509,win_A,UD,0.0,-9.0,10.0,15.0,16,27,75.0,85.18518518518519,100.0,100.0,0.0,0.0,0.0,0.0
305511,win_B,TKO,4.0,-1.0,13.0,33.0,19,25,84.21052631578947,84.0,94.73684210526315,100.0,5.263157894736842,0.0,0.0,0.0
305512,win_A,KO,-7.0,14.0,-5.0,-23.0,24,17,83.33333333333334,64.70588235294117,100.0,100.0,0.0,0.0,0.0,11.76470588235294
305514,win_A,KO,-1.0,6.0,-10.0,-20.0,22,27,81.81818181818183,62.96296296296296,100.0,92.5925925925926,0.0,7.4074074074074066,0.0,0.0
305522,win_A,UD,-8.0,-6.0,-10.0,-13.0,14,12,85.71428571428571,58.333333333333336,100.0,75.0,0.0,25.0,0.0,0.0
305525,win_A,KO,-9.0,-25.0,-15.0,-15.0,11,11,90.9090909090909,45.45454545454545,100.0,63.63636363636363,0.0,36.36363636363637,0.0,9.090909090909092
305538,win_B,TKO,-8.0,0.0,-12.0,-5.0,27,28,88.88888888888889,25.0,100.0,78.57142857142857,0.0,21.428571428571427,0.0,7.142857142857142
305542,win_A,TKO,-4.0,0.0,-10.0,-7.0,22,24,86.36363636363636,62.5,100.0,91.66666666666666,0.0,8.333333333333332,0.0,4.166666666666666
305546,win_A,TKO,0.0,0.0,0.0,5.0,17,17,88.23529411764706,11.76470588235294,100.0,82.35294117647058,0.0,17.647058823529413,0.0,0.0
305547,win_A,KO,-4.0,0.0,-5.0,-2.0,16,19,87.5,36.84210526315789,100.0,68.42105263157895,0.0,31.57894736842105,0.0,0.0
305550,win_A,TKO,-7.0,0.0,-10.0,-15.0,12,14,83.33333333333334,50.0,100.0,64.28571428571429,0.0,35.714285714285715,0.0,0.0
305552,win_A,TKO,-2.0,1.0,-13.0,-20.0,10,7,80.0,71.42857142857143,100.0,85.71428571428571,0.0,14.285714285714285,0.0,0.0
306091,win_A,UD,-1.0,2.0,0.0,7.0,30,27,36.666666666666664,37.03703703703704,96.66666666666667,81.48148148148148,3.3333333333333335,18.51851851851852,3.3333333333333335,7.4074074074074066
306095,win_A,UD,-4.0,0.0,7.0,12.0,25,36,40.0,25.0,100.0,88.88888888888889,0.0,11.11111111111111,4.0,0.0
306096,win_A,UD,-4.0,-2.0,5.0,2.0,24,33,41.66666666666667,24.242424242424242,100.0,69.6969696969697,0.0,30.303030303030305,4.166666666666666,9.090909090909092
306100,win_A,TKO,-4.0,1.0,-2.0,0.0,20,45,35.0,71.11111111111111,100.0,82.22222222222221,0.0,17.77777777777778,5.0,8.88888888888889
306108,win_A,UD,-9.0,-3.0,5.0,0.0,10,26,40.0,30.76923076923077,100.0,73.07692307692307,0.0,26.923076923076923,10.0,3.8461538461538463
306763,win_A,TKO,-14.0,-21.0,16.0,16.0,20,58,65.0,70.6896551724138,95.0,84.48275862068965,5.0,15.517241379310345,0.0,1.7241379310344827
306766,win_A,KO,-3.0,10.0,0.0,-6.0,55,45,72.72727272727273,33.33333333333333,87.27272727272727,64.44444444444444,12.727272727272727,35.55555555555556,1.8181818181818181,2.2222222222222223
306770,win_A,SD,-5.0,4.0,8.0,11.0,33,51,60.60606060606061,72.54901960784314,90.9090909090909,88.23529411764706,9.090909090909092,11.76470588235294,3.0303030303030303,1.9607843137254901
306780,win_A,KO,5.0,0.0,-8.0,-16.0,40,21,75.0,71.42857142857143,92.5,100.0,7.5,0.0,2.5,0.0
306783,win_A,SD,2.0,2.0,0.0,3.0,37,39,75.67567567567568,61.53846153846154,91.8918918918919,97.43589743589743,8.108108108108109,2.564102564102564,2.7027027027027026,0.0
306791,win_B,UD,-4.0,-1.0,3.0,11.0,10,29,70.0,79.3103448275862,70.0,89.65517241379311,30.0,10.344827586206897,0.0,3.4482758620689653
306797,win_A,UD,-6.0,4.0,-1.0,-6.0,23,4,82.6086956521739,75.0,91.30434782608695,100.0,8.695652173913043,0.0,4.3478260869565215,50.0
